"timestamp,model,cv_splits,scaler,class_weight,test_accuracy,test_precision,test_recall,test_f1,test_f2,test_roc_auc,train_accuracy,train_precision,train_recall,train_f1,train_f2,train_roc_auc,train_test_gap_accuracy,false_negative_rate,false_negative_percentage,notes",timestamp,model,cv_splits,scaler,class_weight,test_accuracy,test_precision,test_recall,test_f1,test_f2,test_roc_auc,train_accuracy,train_precision,train_recall,train_f1,train_f2,train_roc_auc,train_test_gap_accuracy,false_negative_rate,false_negative_percentage,notes
"2025-11-17 03:19:14,Logistic Regression,5,StandardScaler,balanced,0.78,0.5011625643165067,0.798709677419355,0.6148654867348153,0.7129104813315339,0.78673598966881,0.7899999999999999,0.5145131855107574,0.8132835038027799,0.6301993274005799,0.7285745557682188,0.7983549549329018,0.0099999999999998,0.2012987012987013,4.428571428571428,",,,,,,,,,,,,,,,,,,,,,
"2025-11-17 03:19:23,TabPFNClassifier,5,StandardScaler,,0.8828571428571429,0.8571428571428571,0.5925925925925926,0.7007299270072993,0.631578947368421,0.9170223507274312,0.8914285714285715,0.7868852459016393,0.6575342465753424,0.7164179104477612,0.6798866855524079,0.9499530191385194,0.0085714285714285,40.74074074074074,,",,,,,,,,,,,,,,,,,,,,,
"2025-11-17 03:20:09,XGBoost,5,PowerTransformer+StandardScaler,scale_pos_weight=3.55,0.8342857142857142,0.6108601774042951,0.6815053763440859,0.6441253690940739,0.6660093742536423,0.7793932219501916,0.9557142857142856,0.8327397945770005,1.0,0.908647163416496,0.9613117836944935,0.9716131673419688,0.1214285714285715,31.818181818181817,,""max_depth=4, learning_rate=0.1, n_estimators=100""",,,,,,,,,,,,,,,,,,,,,
"2025-11-17 03:20:53,LightGBM,5,PowerTransformer+StandardScaler,scale_pos_weight=3.55,0.8357142857142857,0.6107352642337163,0.7079569892473117,0.6555167253888483,0.6859328127926484,0.7898667348238227,0.9428571428571428,0.7948070120041851,0.9983739837398374,0.8849591576815868,0.9496642765520596,0.9627873319702692,0.1071428571428571,29.22077922077922,,""max_depth=4, learning_rate=0.1, n_estimators=100""",,,,,,,,,,,,,,,,,,,,,
"2025-11-17 03:22:30,Random Forest,5,PowerTransformer+StandardScaler,balanced,0.8614285714285714,0.6946279596376927,0.669032258064516,0.6812035373653744,0.6737601357436847,0.7923810164384297,0.9425,0.8152949996630501,0.9561500131130344,0.8799669020490015,0.9240988994001264,0.9473998443790352,0.0810714285714286,33.11688311688312,,""max_depth=8, n_estimators=100, min_samples_split=5, min_samples_leaf=2""",,,,,,,,,,,,,,,,,,,,,
"2025-11-17 03:26:09,CatBoost,5,PowerTransformer+StandardScaler,""class_weights=[1, 3.55]"",0.8185714285714286,0.5645933014354066,0.7662337662337663,0.650137741046832,0.7151515151515152,0.8999333999334,0.8742857142857143,0.6473214285714286,0.9415584415584416,0.7671957671957672,0.8630952380952381,0.9600042814328529,0.055714285714285716,23.376623376623375,,""depth=4, learning_rate=0.1, iterations=100""",,,,,,,,,,,,,,,,,,,,,
,2025-11-17 03:45:15,CatBoost (Optimized),5.0,PowerTransformer+StandardScaler,"class_weights=[1, 3.55]",0.8300000000000001,0.5839404074186682,0.8053763440860214,0.6759699248120301,0.7477013937125265,0.8212119418511843,0.8592857142857143,0.6296966628531611,0.8798714922633097,0.7337993032755806,0.8148798674700062,0.8666735119662654,0.02928571428571425,19.480519480519483,4.2857142857142865,Optimized hyperparameters - see best_hyperparameters.json
,2025-11-17 03:45:15,Logistic Regression (Optimized),5.0,StandardScaler,balanced,0.7728571428571429,0.49333121632309174,0.8187096774193549,0.6139156551186742,0.7214536269049647,0.7894382415453738,0.7767857142857142,0.49587340250068335,0.8084447941253607,0.6145731102287737,0.7177989857259552,0.788152655496959,0.003928571428571281,18.181818181818183,4.0,Optimized hyperparameters - see best_hyperparameters.json
,2025-11-17 03:45:15,LightGBM (Optimized),5.0,PowerTransformer+StandardScaler,scale_pos_weight=3.55,0.8300000000000001,0.5828030803608971,0.8245161290322581,0.6823498754766361,0.7608770052023092,0.8280045198956121,0.8814285714285713,0.6609199534315813,0.9480592709152897,0.7787807358333297,0.8721885661724353,0.9053493087933575,0.05142857142857127,17.532467532467532,3.8571428571428568,Optimized hyperparameters - see best_hyperparameters.json
